time,type,measurementId,measurementValue
2023-11-02T18:34:37Z,Rain Gauge,4113,0
2023-11-02T18:34:37Z,UV Index,4190,0
2023-11-02T18:34:37Z,Wind Direction Sensor,4104,114
2023-11-02T18:34:37Z,Wind Speed,4105,0
2023-11-02T18:19:30Z,Air Humidity,4098,99
2023-11-02T18:19:30Z,Air Temperature,4097,13.8
2023-11-02T18:19:30Z,Barometric Pressure,4101,98440
2023-11-02T18:19:30Z,Light Intensity,4099,0
2023-11-02T18:19:30Z,Rain Gauge,4113,0
2023-11-02T18:19:30Z,UV Index,4190,0
2023-11-02T18:19:30Z,Wind Direction Sensor,4104,114
2023-11-02T18:19:30Z,Wind Speed,4105,0
2023-11-02T18:04:24Z,Air Humidity,4098,99
2023-11-02T18:04:24Z,Air Temperature,4097,13.8
2023-11-02T18:04:24Z,Barometric Pressure,4101,98450
2023-11-02T18:04:24Z,Light Intensity,4099,0
2023-11-02T18:04:24Z,Rain Gauge,4113,0
2023-11-02T18:04:24Z,UV Index,4190,0
2023-11-02T18:04:24Z,Wind Direction Sensor,4104,114
2023-11-02T18:04:24Z,Wind Speed,4105,0
2023-11-02T17:49:18Z,Air Humidity,4098,99
2023-11-02T17:49:18Z,Air Temperature,4097,13.7
2023-11-02T17:49:18Z,Barometric Pressure,4101,98480
2023-11-02T17:49:18Z,Light Intensity,4099,0
2023-11-02T17:49:18Z,Rain Gauge,4113,1.524
2023-11-02T17:49:18Z,UV Index,4190,0
2023-11-02T17:49:18Z,Wind Direction Sensor,4104,114
2023-11-02T17:49:18Z,Wind Speed,4105,0
2023-11-02T17:34:11Z,Air Humidity,4098,99
2023-11-02T17:34:11Z,Air Temperature,4097,13.6
2023-11-02T17:34:11Z,Barometric Pressure,4101,98570
2023-11-02T17:34:11Z,Light Intensity,4099,0
2023-11-02T17:34:11Z,Rain Gauge,4113,1.524
2023-11-02T17:34:11Z,UV Index,4190,0
2023-11-02T17:34:11Z,Wind Direction Sensor,4104,114
2023-11-02T17:34:11Z,Wind Speed,4105,0
2023-11-02T17:19:05Z,Air Humidity,4098,99
2023-11-02T17:19:05Z,Air Temperature,4097,13.4
2023-11-02T17:19:05Z,Barometric Pressure,4101,98550
2023-11-02T17:19:05Z,Light Intensity,4099,0
2023-11-02T17:19:05Z,Rain Gauge,4113,3.048
2023-11-02T17:19:05Z,UV Index,4190,0
2023-11-02T17:19:05Z,Wind Direction Sensor,4104,114
2023-11-02T17:19:05Z,Wind Speed,4105,0
2023-11-02T17:03:59Z,Air Humidity,4098,99
2023-11-02T17:03:59Z,Air Temperature,4097,13.2
2023-11-02T17:03:59Z,Barometric Pressure,4101,98620
2023-11-02T17:03:59Z,Light Intensity,4099,0
2023-11-02T17:03:59Z,Rain Gauge,4113,0
2023-11-02T17:03:59Z,UV Index,4190,0
2023-11-02T17:03:59Z,Wind Direction Sensor,4104,114
2023-11-02T17:03:59Z,Wind Speed,4105,0
2023-11-02T16:48:53Z,Air Humidity,4098,99
2023-11-02T16:48:53Z,Air Temperature,4097,13.1
2023-11-02T16:48:53Z,Barometric Pressure,4101,98660
2023-11-02T16:48:53Z,Light Intensity,4099,0
2023-11-02T16:48:53Z,Rain Gauge,4113,0
2023-11-02T16:48:53Z,UV Index,4190,0
2023-11-02T16:48:53Z,Wind Direction Sensor,4104,114
2023-11-02T16:48:53Z,Wind Speed,4105,0
2023-11-02T16:33:47Z,Air Humidity,4098,99
2023-11-02T16:33:47Z,Air Temperature,4097,13.1
